Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.532732964,5.676054955,5.789683819,5.629337788,6.332940102,6.458099842,6.442590237,6.431990147,6.255764961,6.630529881,6.590469837,6.451570034,6.461730003,6.425340176,6.381070137,6.33397007,6.812329769,6.234233379
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.113660097,2.365099907,2.159490108,2.566900015,2.777280092,3.089270115,3.679970026,4.400000095,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.931619883,3.002736092,2.939019918,3.193180799
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,4.017340183,3.9131599665000003,4.33701992,4.483980179,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,4.294914961,5.628469944,5.488609791,5.407136917,5.150865078,5.224015236
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.125080109,2.171930075,2.017149925,1.940140009,2.05456996,1.939419985,4.048079967,2.132699966,2.046670675,1.966160059,2.098716736,1.872254133,2.221199989,1.850400329,1.655891299,1.681388021,1.765280604,1.831179976
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.219832897,3.384239912,3.386080027,2.319950104,4.219089985,4.274290085,3.857969999,3.546979904,3.476370096,4.058229923,4.070053101,3.912084341,3.393708229,4.075270176,4.045289993,4.19715023,4.502870083,4.492647648
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,4.017340183,3.9131599665000003,2.496779919,4.483980179,4.048079967,4.07831502,2.645309925,2.476890087,2.467459917,2.674540043,3.25597024,2.324520111,2.808009863,2.384604454,2.552374601,2.220525265
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.232840061,4.079585075500001,4.017340183,3.9131599665000003,4.33701992,4.483980179,4.048079967,2.34986043,2.452630043,2.472421408,2.448431969,2.399080276,2.603868723,2.806545019,2.566341162,2.700974464,2.866807222,3.573005915
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,4.017340183,3.9131599665000003,4.33701992,4.483980179,4.048079967,4.07831502,4.164209843,4.2676501275,4.139840126,4.232900143,4.294914961,4.184885025,4.064687848,4.042768955,4.420020103500001,4.0849078295000005
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.196619987,4.079585075500001,4.017340183,5.712259769,5.713215351,4.368939877,5.220039845,4.684790134,4.959640026,5.009419918,4.818329811,4.787509918,4.946549892,4.795000076,5.381100178,4.979489803,4.862639904,4.606410027
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.778970003,4.322100163,4.017340183,4.043340206,4.328110218,4.828690052,5.267479897,5.51967907,5.47151041,5.141980171,5.147729874,5.357739925,5.680840015,5.902510166,6.074989796,5.90775013,5.152190208,5.856490135
