"Region","Country","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Eastern and South-Eastern Asia","Malaysia","4.70","4.35","4.18","4.13","3.98","4.52","4.27","3.51",""
"SDG: Eastern and South-Eastern Asia","Mongolia","4.39","5.20","4.32","4.00","3.65","4.66","3.34","4.26",""
"SDG: Eastern and South-Eastern Asia","Myanmar","2.25","2.16","2.33","2.16","2.14","","","",""
"SDG: Eastern and South-Eastern Asia","Philippines","3.52","3.03","3.97","3.86","3.36","3.88","3.88","3.58",""
"SDG: Eastern and South-Eastern Asia","Republic of Korea","4.71","4.33","4.33","4.46","4.68","4.80","5.40","",""
"SDG: Eastern and South-Eastern Asia","Singapore","2.86","2.87","2.76","2.86","2.73","2.69","2.83","2.39",""
"SDG: Eastern and South-Eastern Asia","Thailand","3.86","3.77","3.46","3.20","3.02","3.15","2.99","2.61",""
"SDG: Eastern and South-Eastern Asia","Timor-Leste","6.29","6.02","5.21","4.88","4.18","3.66","2.97","",""
"SDG: Eastern and South-Eastern Asia","Viet Nam","3.42","3.47","3.42","3.30","3.08","3.22","2.95","2.90",""
"SDG: Europe and Northern America","Albania","3.44","3.96","3.61","3.15","3.92","3.34","3.02","2.75",""
"SDG: Europe and Northern America","Andorra","3.28","3.24","3.22","3.25","3.15","2.86","2.58","2.67",""
"SDG: Europe and Northern America","Austria","5.46","5.48","5.37","5.23","5.22","5.57","4.96","4.77",""
"SDG: Europe and Northern America","Belarus","4.79","4.95","4.80","5.38","4.98","4.86","4.61","5.19",""
"SDG: Europe and Northern America","Belgium","6.45","6.46","6.43","6.38","6.33","6.81","6.21","",""
"SDG: Europe and Northern America","Bermuda","1.50","1.92","1.32","1.94","1.93","1.89","1.89","1.92","1.93"
"SDG: Europe and Northern America","Bulgaria","3.91","3.39","4.08","4.05","4.20","4.50","4.29","",""
"SDG: Europe and Northern America","Canada","4.74","4.82","4.96","4.89","4.77","4.89","4.59","4.14",""
"SDG: Europe and Northern America","Croatia","4.97","4.90","3.89","3.95","3.95","4.43","5.20","",""
"SDG: Europe and Northern America","Czechia","5.75","5.55","3.81","4.27","4.54","4.72","5.05","",""
"SDG: Europe and Northern America","Denmark","7.01","7.69","7.12","7.30","7.26","7.39","5.93","",""
"SDG: Europe and Northern America","Estonia","5.14","5.16","4.96","5.24","5.30","5.52","5.91","",""
"SDG: Europe and Northern America","Finland","7.03","6.85","6.36","6.28","6.42","6.63","5.71","",""
"SDG: Europe and Northern America","France","5.45","5.41","5.45","5.41","5.35","5.68","5.24","",""
"SDG: Europe and Northern America","Germany","4.86","4.84","4.87","4.98","5.12","5.59","4.51","4.54",""
"SDG: Europe and Northern America","Greece","3.66","4.02","3.48","3.60","3.59","4.51","4.09","",""
"SDG: Europe and Northern America","Holy See","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SDG: Europe and Northern America","Hungary","4.50","4.62","4.65","4.62","4.22","4.16","5.01","",""
"SDG: Europe and Northern America","Iceland","7.46","7.43","7.58","7.56","7.61","8.61","7.69","7.14",""
"SDG: Europe and Northern America","Ireland","3.76","3.74","3.50","3.39","3.29","3.27","2.93","",""
"SDG: Europe and Northern America","Italy","4.07","3.82","4.04","4.26","4.10","4.44","4.02","",""
"SDG: Europe and Northern America","Latvia","5.28","4.66","4.37","4.24","4.42","4.82","5.62","",""
"SDG: Europe and Northern America","Lithuania","4.23","4.00","3.81","3.89","3.97","4.51","4.75","",""
"SDG: Europe and Northern America","Luxembourg","3.77","4.35","3.49","3.66","3.74","3.84","4.70","4.70",""
"SDG: Europe and Northern America","Malta","5.02","5.11","4.56","4.92","4.94","5.64","5.40","",""
"SDG: Europe and Northern America","Monaco","","1.37","1.46","","1.16","","1.42","",""
"SDG: Europe and Northern America","Netherlands","5.35","5.48","5.18","5.36","5.16","5.42","5.05","",""
"SDG: Europe and Northern America","Norway","7.52","7.98","7.85","7.60","7.86","8.37","4.96","3.97",""
"SDG: Europe and Northern America","Poland","4.82","4.66","4.57","4.61","4.68","4.85","4.92","",""
"SDG: Europe and Northern America","Portugal","4.89","4.77","5.02","4.68","4.63","4.88","4.61","",""
