"Region","Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Europe and Northern America","Estonia","5.52","5.01","4.72","4.84","4.39","5.14","5.16","4.96","5.24","5.30","5.52","5.91","",""
"SDG: Europe and Northern America","Finland","6.50","6.45","7.15","7.12","7.10","7.03","6.85","6.36","6.28","6.42","6.63","5.71","",""
"SDG: Europe and Northern America","France","5.64","5.48","5.49","5.49","5.49","5.45","5.41","5.45","5.41","5.35","5.68","5.24","",""
"SDG: Europe and Northern America","Germany","5.10","4.98","4.93","4.94","4.92","4.86","4.84","4.87","4.98","5.12","5.59","4.51","4.54",""
"SDG: Europe and Northern America","Greece","4.14","4.52","4.58","4.50","4.32","3.66","4.02","3.48","3.60","3.59","4.51","4.09","",""
"SDG: Europe and Northern America","Holy See","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SDG: Europe and Northern America","Hungary","4.72","4.56","4.14","4.19","4.60","4.50","4.62","4.65","4.62","4.22","4.16","5.01","",""
"SDG: Europe and Northern America","Iceland","6.94","6.79","7.58","7.45","7.64","7.46","7.43","7.58","7.56","7.61","8.61","7.69","7.14",""
"SDG: Europe and Northern America","Ireland","6.05","5.83","5.75","5.34","4.87","3.76","3.74","3.50","3.39","3.29","3.27","2.93","",""
"SDG: Europe and Northern America","Italy","4.33","4.12","4.06","4.14","4.06","4.07","3.82","4.04","4.26","4.10","4.44","4.02","",""
"SDG: Europe and Northern America","Latvia","5.04","5.07","6.58","7.00","5.28","5.28","4.66","4.37","4.24","4.42","4.82","5.62","",""
"SDG: Europe and Northern America","Liechtenstein","","2.56","","","","","","","","","","","",""
"SDG: Europe and Northern America","Lithuania","5.30","5.11","4.76","4.60","4.49","4.23","4.00","3.81","3.89","3.97","4.51","4.75","",""
"SDG: Europe and Northern America","Luxembourg","5.01","4.99","3.88","4.68","3.86","3.77","4.35","3.49","3.66","3.74","3.84","4.70","4.70",""
"SDG: Europe and Northern America","Malta","6.25","7.70","6.35","7.58","7.00","5.02","5.11","4.56","4.92","4.94","5.64","5.40","",""
"SDG: Europe and Northern America","Monaco","1.32","1.59","1.78","1.33","1.02","","1.37","1.46","","1.16","","1.42","",""
"SDG: Europe and Northern America","Netherlands","5.49","5.46","5.41","5.53","5.46","5.35","5.48","5.18","5.36","5.16","5.42","5.05","",""
"SDG: Europe and Northern America","Norway","6.71","6.41","7.33","7.44","7.64","7.52","7.98","7.85","7.60","7.86","8.37","4.96","3.97",""
"SDG: Europe and Northern America","Poland","5.11","4.86","4.86","5.02","4.97","4.82","4.66","4.57","4.61","4.68","4.85","4.92","",""
"SDG: Europe and Northern America","Portugal","5.41","5.12","4.95","5.27","5.12","4.89","4.77","5.02","4.68","4.63","4.88","4.61","",""
